"age_cat","pregame_skill","skill_grade","alignment","mining_output","rare_gems","common_gems","easy_attempts","hard_attempts","epic_attempts","trivia_score","time_combat","time_overworld","time_space","time_played","combat_rating","play_style","device_os","device_age","spender","money_spent","demo_x1","demo_x2","demo_x3","demo_x4","demo_x5"
"30-39",110.883579910397,"C",0.53448109082794,16.4339634093175,6,60,7,77,14,11,1.45,126.3,48.5,257.51,779.675573563399,"Psychic","Other",13,1,3.02,0.723144420655444,0.114330747164786,2.01691346546949,0.961506049376415,2.90908829247383
"13-19",88.6065651393967,"D",0.874225771957487,7.21241216122148,5,68,3,39,12,15,17.63,11.61,21.5,75.3,1867.56686941228,"Grass","Apple",0,0,0,0.325399494031444,0.578941517742351,0.520281505767372,-0.427428745847233,2.4499118208291
"20-29",100.870530523683,"C",0.780106711933674,4.87398271022462,1,60,3,28,11,12,12.32,37.23,9.76,113.41,1667.76267395132,"Fire","Apple",0,1,0.13,0.212968140374869,0.320540697313845,0.71175856964454,0.699344922857672,1.27954569135888
"30-39",104.133386154526,"C",0.765517030946208,2.50109212930181,2,79,1,15,14,15,4.73,60.72,16.35,146.86,1541.83539180964,"Fire","Apple",0,1,1.79,0.417414341587573,0.838209375971928,0.273417240242495,-0.506165986136238,1.00357551636468
"13-19",105.88126872552,"C",0.241990848248361,1.9258520903678,10,79,1,35,8,13,5.14,91.28,53.43,295.51,1521.13298838674,"Psychic","Android",1,0,0,0.88137149438262,0.846219926839694,0.490383365661959,-0.213925502058537,2.07703694443367
"30-39",83.0445356679333,"E",0.989220942401048,1.44446387101985,6,62,2,123,8,9,0.58,19.96,9.41,54.12,518.497688512022,"Fire","Apple",0,1,8.34,0.0645921030081809,0.608180858660489,0.422309025963978,1.52617285269065,2.71437509436455
"40-49",109.172693069718,"C",0.991459264962711,3.41684987297748,5,62,0,38,3,12,0.99,62.58,24.56,137.1,1649.43201733626,"Water","Android",1,1,1.47,0.710214762249961,0.279533873777837,0.319145611100717,2.84022201906326,1.48142167304874
"20-29",75.0050953070912,"E",0.731178356083806,7.57697072354788,3,84,9,24,8,9,4.21,19.72,15.73,77.41,2107.68283232729,"Grass","Apple",1,1,17.06,0.868520349962637,0.981522246031091,1.44854835598892,0.883366804830743,2.03224747751818
"40-49",90.4072326006415,"D",0.434849048128499,3.28733932326268,4,84,3,40,4,9,0.36,17.91,10.07,54.32,2022.3386564226,"Fire","Microsoft",3,0,0,0.265028156340122,0.0536356056109071,0.0620072828200168,-0.345399888670483,3.6596922071701
"30-39",107.908516552393,"C",0.941951804413887,3.54577164745916,3,68,1,67,1,15,0.79,46.17,21.16,85.57,141.490358511234,"Fire","Apple",1,1,1.52,0.989534388761967,0.352286837995052,1.38225931303625,1.9009596391422,2.06746379545772
"50-59",90.7462986082866,"D",0.291690524265194,6.56031945464971,3,67,0,38,21,10,9.11,54.56,40.87,198.5,1191.40747473039,"Psychic","Apple",0,1,15.91,0.398762551136315,0.48756992071867,1.31084332573471,2.13868525595755,2.79481129673819
"60-69",131.04712158967,"A",0.872843277311977,10.3968979213457,9,71,5,13,3,10,1.59,38.47,42.45,109.45,1973.32837425063,"Psychic","Microsoft",1,0,0,0.403428284451365,0.49362553935498,-1.57972551472241,0.397152992952596,3.90271694577586
"30-39",107.609689527844,"C",0.581000659434499,3.23221844037443,5,67,6,14,8,11,21.28,43.77,16.09,132.75,3191.23994616058,"Grass","Android",0,1,20.98,0.755455188453197,0.0746941969264299,0.843610097088408,-0.273998582936073,1.85841647342077
"70+",86.0019954275099,"D",0.627758321448047,1.35627207123925,5,95,5,92,4,17,2.1,51.66,15.62,138.56,1387.83056699401,"Fire","Apple",0,1,1.36,0.130396929336712,0.958899890771136,1.24888876687009,0.299435630815243,1.94519545142401
"20-29",86.0219459175111,"D",0.711062593743901,13.4133741985772,2,58,2,41,18,15,12.98,52.14,8.67,106.85,1873.83820187632,"Fire","Apple",0,0,0,0.175345261115581,0.98155030189082,-1.04820144410166,-0.0736082337869212,0.943904090125617
"70+",108.396501280854,"C",0.487840361452521,13.5356782506616,4,74,12,40,12,13,11.31,28.62,4.33,81.18,2323.21534620666,"Fire","Apple",0,0,0,0.698304088087752,0.338842839701101,0.521049440147658,-0.0706514048432932,1.17657244876441
"70+",117.873348866533,"B",0.365323428547932,5.06491497987431,6,77,0,5,11,13,6.47,136.84,25.62,178.88,1774.23886006213,"Grass","Apple",0,1,12.78,0.572679010452703,0.249592879321426,1.37738385191706,0.54410484334763,2.74874591967165
"70+",109.315408175259,"C",0.399849465036804,11.2015574122441,3,60,0,7,9,12,1.79,66.34,56.86,232.16,1676.27655662426,"Ghost","Apple",0,1,18.55,0.418907175771892,0.309579860884696,0.729526120089933,0.0021297615867566,0.563415302616086
"20-29",101.156602507233,"C",0.959312605704682,8.00078407096994,4,64,0,35,2,8,15.7,81.22,28.07,214.01,2255.68048201351,"Grass","Apple",0,1,0.68,0.267340632621199,0.931366888340563,0.317770856372736,2.59789806593775,3.50171107066142
"70+",110.050465358292,"C",0.909331648035169,1.46233036232773,4,75,0,108,21,11,22.7,56.72,26.4,128.92,2572.06461697207,"Water","Apple",0,0,0,0.366423438536003,0.25923770852387,0.601422041154045,-1.7146452437834,1.0420858634734
"70+",92.771520925118,"D",0.607293590583352,3.90891841139829,3,66,5,13,17,11,5.55,85.71,19.21,217.41,1326.77973541487,"Water","Microsoft",0,1,0.83,0.637251796899363,0.732012061402202,-0.706964024972643,0.916628693657929,2.98801304458686
"70+",94.392661897141,"D",0.898392887631046,4.82041277832929,3,74,0,25,23,12,7.09,82.38,15.04,201.3,1435.4146073659,"Grass","Android",0,0,0,0.423286557430401,0.544745192863047,0.0737669674933572,-1.12884678654526,2.46039586202799
"50-59",105.117953402075,"C",0.393646428670745,3.56330885262658,5,73,3,18,9,14,30.93,110.12,13.62,218.53,5010.29918080679,"Grass","Android",2,0,0,0.958827415248379,0.664746243972331,-0.937327867189005,0.0749333968781884,2.64595626876458
"60-69",83.3720442614056,"E",0.819486970629538,1.65968769755858,3,71,1,30,6,9,1.32,115.71,28.34,240.54,508.365620331205,"Water","Apple",0,1,23.89,0.814240365521982,0.247637887950987,0.399124023691246,1.23643791348682,2.5528394162545
"70+",112.299420863006,"C",0.608599739322788,8.02159969481068,6,78,2,30,7,9,0.92,50.54,44.76,182.91,1421.64332904421,"Psychic","Other",3,0,0,0.786980987060815,0.954299916513264,-2.00884692410364,-2.42475423271101,1.8979502086655
"40-49",87.9093938230325,"D",0.149521825420443,1.40551530420479,4,79,12,54,19,12,3.73,140.66,14.92,308.54,1827.38373129704,"Fire","Microsoft",0,1,3.77,0.596856743562967,0.954044216778129,-0.41786542588178,0.843524904345874,4.83358881908763
"40-49",78.8801826184959,"E",0.956957644764044,2.66039600417992,5,69,4,0,17,12,8.81,53.32,16.91,101.93,2011.26720250583,"Grass","Apple",0,1,7.98,0.573040305869654,0.819183092797175,2.79399725987161,0.852627273958758,2.20526034962044
"20-29",83.2165007200135,"E",0.904881116733116,3.0776293700124,4,67,1,15,10,13,2.49,14.91,23.72,68.76,724.183799552032,"Grass","Android",1,0,0,0.524517202982679,0.724378671031445,1.33960441059809,0.0383780167577833,2.26608330345999
"50-59",78.2185032246444,"E",0.840475328677455,10.7883118926491,6,75,0,211,6,11,0.53,95.79,23.08,210.3,988.026967662061,"Fire","Apple",0,1,9.18,0.502011927543208,0.501522129634395,1.05388267371022,0.110855724252416,3.1446222329352
"40-49",71.9975944176639,"E",0.922485163382346,2.39436914917942,3,79,1,12,12,12,32.05,28.74,14.61,134.52,4277.49745459763,"Fire","Android",0,1,18.37,0.0595157719217241,0.848176324274391,0.623409763118626,-0.175600215233974,1.19440971132543
"30-39",117.414888877535,"B",0.750213870988848,6.53639004487921,10,81,11,5,8,11,20.46,39.94,56.38,153.01,2665.82363706303,"Ghost","Apple",0,1,7,0.669102203566581,0.85407124622725,0.474742706616905,3.82131290787845,2.322694275469
"50-59",104.923024845743,"C",0.725743258177886,4.77451111359619,2,65,0,11,12,11,2.44,78.22,22.85,121.95,1586.53563255053,"Water","Android",1,0,0,0.576185490237549,0.685930183157325,-1.09634833615977,0.611728339497581,2.42905863148514
"30-39",99.0637604989438,"D",0.693059525038163,2.74166063957175,7,86,9,111,22,14,1.98,48.48,18.9,117.19,794.566176137936,"Grass","Apple",0,0,0,0.335272744065151,0.880517276236787,0.819518577475793,0.417240964353158,1.05577993184544
"40-49",103.698233786112,"C",0.921239115850231,10.2003213769157,4,69,2,94,11,11,18.28,27.41,42.45,128.34,3348.31648168893,"Psychic","Apple",2,1,2.28,0.0924516513478011,0.816567742731422,1.0666865271223,0.467437795104984,2.15357924651094
"13-19",142.364273390375,"A",0.387189682429494,6.2295108726749,2,69,5,19,3,12,2.58,36.94,10.36,56.68,1608.43875582765,"Fire","Microsoft",1,0,0,0.624919048510492,0.444421350490302,0.400901178767175,-0.103875368570343,3.46243422260368
"30-39",122.129981316337,"B",0.99565614162052,5.86542009090037,2,70,5,0,6,11,3.99,76.14,6.77,161.23,2199.59490602901,"Fire","Apple",1,1,7.64,0.824084247229621,0.211869115941226,0.369618271494325,0.571163250944439,1.46578460853545
"13-19",81.0539757635274,"E",0.688803929147548,3.763019452549,4,67,3,56,9,13,20.15,56.65,20.5,145.9,3288.85876950268,"Grass","Apple",4,0,0,0.111634817207232,0.709344545612112,0.0206248296786852,1.28970049090093,2.0645838141492
"30-39",116.405689467705,"B",0.658203717812935,7.2092299377541,3,73,1,29,6,8,28.41,44.51,39.7,116.42,4470.32240552385,"Psychic","Android",3,0,0,0.215735279256478,0.214426221791655,-0.0603307934848506,-0.699890211687516,3.8036999355664
"20-29",110.761777850936,"C",0.0847667778299161,3.98778498218758,2,76,4,0,9,13,3.02,142.18,26.26,236.82,1584.64636410648,"Water","Apple",0,1,2.52,0.801891327137128,0.674644527956843,-0.31790249157136,1.08743140059869,3.11291260035794
"70+",109.503307637179,"C",0.269895783919793,2.85171797151761,4,61,1,37,3,12,0.28,66.03,15.57,115.07,1110.01957133039,"Fire","Android",3,0,0,0.643548220396042,0.524174879537895,1.49587387441928,0.904656011203448,0.829674932772659
"70+",80.8344636773132,"E",0.918498975832261,4.38064789415109,3,70,4,75,11,8,5.7,134.07,42.84,185.61,1231.83340688987,"Psychic","Apple",0,1,9.8,0.0934580713510513,0.467849397799,1.32133285003717,0.154332484913423,2.38681962067688
"20-29",112.810901750986,"C",0.755533093463519,7.5377402455636,5,65,0,10,5,10,0.35,81.68,16.72,132.86,1167.12523649522,"Grass","Apple",1,0,0,0.186999469297007,0.909877842059359,-0.96410207693761,-0.224184524766565,1.66829280040234
"20-29",77.9411662102478,"E",0.791464066924584,5.89529470715462,4,65,6,20,10,11,5.67,47.62,45.4,181.97,951.000154099595,"Psychic","Apple",1,1,3.52,0.451711611589417,0.237521163653582,-0.253765675450052,1.24211629752002,3.30557978698029
"70+",113.991149514191,"C",0.807188499997933,18.1692545532085,4,67,0,113,9,14,60,60.86,35.55,193.82,6615.08633729302,"Psychic","Android",0,0,0,0.0584161847364157,0.806193226017058,-1.38807219626715,-1.68202366791144,3.35565790297419
"40-49",87.1585434726838,"D",0.658359559394015,2.46507531445808,3,55,3,15,7,14,12.04,53.14,15.19,156.17,2274.12251287098,"Grass","Apple",0,1,0.93,0.911059258738533,0.0866554253734648,2.95949333664373,1.88387002108499,1.22834815187113
"40-49",109.744583814566,"C",0.995566476179859,3.08324103320045,5,81,6,6,3,13,17.63,56.24,22.8,108.52,3403.55796401754,"Grass","Apple",0,1,2.41,0.856646595522761,0.668965990189463,1.0218622660999,1.52185446235145,0.962621684948616
"20-29",150.958360938234,"A",0.645714045471633,2.74357631259819,2,77,3,38,7,14,13.23,91.81,26.18,190.64,3125.64778116589,"Grass","Apple",0,1,0.63,0.940115637378767,0.651048723841086,1.33683217019042,1.94369922169633,2.51500656440824
"40-49",96.045002960885,"D",0.529018430133668,6.01408680373614,2,77,1,37,9,14,14.49,49.22,20.72,93.74,2705.28748798601,"Grass","Apple",0,0,0,0.170082352822646,0.719127767719328,0.366863556840502,-0.242000383513641,0.12563807411106
"50-59",80.7119887045345,"E",0.868889900405733,3.47030593571717,5,67,4,117,4,8,60.62,53.07,27.85,277.21,7054.69574629115,"Water","Android",0,1,3.21,0.529541344381869,0.618629394797608,-0.129612371529598,1.03749856006814,1.07280924487175
"13-19",107.42623831585,"C",0.742243218399946,5.20538260767669,7,57,11,18,5,11,0.64,36.68,44.39,83.59,1869.63256866481,"Psychic","Apple",0,0,0,0.00277220527641475,0.855675094993785,-0.836613619719456,-0.366580163968672,2.01198704919889
"20-29",91.9763325893863,"D",0.358054060328326,10.3602155300926,3,64,10,43,3,6,20.29,76.3,11.54,150.59,2770.15127529954,"Fire","Apple",0,1,3.25,0.430612290278077,0.56978549528867,2.4654215443554,1.28406695589566,1.65344389867061
"20-29",90.2839069341415,"D",0.476666494217144,1.0754789685504,4,67,4,29,11,15,16.39,67.63,12.16,170.28,1944.94006446681,"Fire","Apple",0,0,0,0.0196383709553629,0.0489653500262648,0.986262603910854,0.642082293775416,3.29472066451815
"13-19",95.1487567854713,"D",0.643479205279434,7.65060783403963,3,72,5,31,4,13,11.91,122.41,38.18,300.19,2208.76509221226,"Psychic","Apple",0,1,15.08,0.658781621372327,0.463362952694297,1.34473646926322,3.0698643901629,3.25106177147823
"40-49",107.710864141736,"C",0.956601550081455,3.43386476597038,3,62,0,59,7,8,2.29,143.38,10.34,264.27,1808.32664214926,"Fire","Apple",0,1,5.34,0.809583744034171,0.520356641616672,1.3782293225743,2.41779702117784,3.00348477896106
"13-19",96.7653517258973,"D",0.603001382659416,1.73823587077993,7,66,1,18,6,10,0.9,64.93,16.51,132.01,1636.87224612942,"Grass","Apple",0,1,10.77,0.97595863067545,0.189572566887364,1.55319522071652,1.21051502047925,2.57409530174335
"60-69",99.3623934143046,"D",0.970005567164698,1.50235746967821,1,95,2,29,6,8,38.92,57.66,21.1,152.44,4676.33794934799,"Grass","Android",0,0,0,0.332853143103421,0.690177814103663,-0.574844212813868,-0.286527426286434,1.53520015440979
